"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-09-02T11:25:03.875"
INFLB;1082;Midtjylland;00-01;K;13382;4;0;0;0;0,00;0,00;29,89;0,00;
INFLB;1082;Midtjylland;00-01;M;14143;4;0;0;0;0,00;0,00;28,28;0,00;
INFLB;1082;Midtjylland;02-06;Alle;74167;4;0;0;0;0,00;0,00;5,39;0,00;
INFLB;1082;Midtjylland;02-06;K;35993;1;0;0;0;0,00;0,00;2,78;0,00;
INFLB;1082;Midtjylland;02-06;M;38174;3;0;0;0;0,00;0,00;7,86;0,00;
INFLB;1082;Midtjylland;07-14;Alle;117879;5;0;0;0;0,00;0,00;4,24;0,00;
INFLB;1082;Midtjylland;07-14;K;57471;1;0;0;0;0,00;0,00;1,74;0,00;
INFLB;1082;Midtjylland;07-14;M;60408;4;0;0;0;0,00;0,00;6,62;0,00;
INFLB;1082;Midtjylland;15-44;Alle;524550;24;0;0;0;0,00;0,00;4,58;0,00;
INFLB;1082;Midtjylland;15-44;K;257777;10;0;0;0;0,00;0,00;3,88;0,00;
INFLB;1082;Midtjylland;15-44;M;266773;14;0;0;0;0,00;0,00;5,25;0,00;
INFLB;1082;Midtjylland;45-64;Alle;345261;35;0;0;0;0,00;0,00;10,14;0,00;
INFLB;1082;Midtjylland;45-64;K;173110;20;0;0;0;0,00;0,00;11,55;0,00;
INFLB;1082;Midtjylland;45-64;M;172151;15;0;0;0;0,00;0,00;8,71;0,00;
INFLB;1082;Midtjylland;65-74;Alle;143844;23;0;0;0;0,00;0,00;15,99;0,00;
INFLB;1082;Midtjylland;65-74;K;73596;8;0;0;0;0,00;0,00;10,87;0,00;
INFLB;1082;Midtjylland;65-74;M;70248;15;0;0;0;0,00;0,00;21,35;0,00;
INFLB;1082;Midtjylland;75-84;Alle;107117;21;0;0;0;0,00;0,00;19,60;0,00;
INFLB;1082;Midtjylland;75-84;K;56978;8;0;0;0;0,00;0,00;14,04;0,00;
INFLB;1082;Midtjylland;75-84;M;50139;13;0;0;0;0,00;0,00;25,93;0,00;
INFLB;1082;Midtjylland;85+;Alle;33182;12;0;0;0;0,00;0,00;36,16;0,00;
INFLB;1082;Midtjylland;85+;K;20312;7;0;0;0;0,00;0,00;34,46;0,00;
INFLB;1082;Midtjylland;85+;M;12870;5;0;0;0;0,00;0,00;38,85;0,00;
INFLB;1082;Midtjylland;Alle;Alle;1373525;132;0;0;0;0,00;0,00;9,61;0,00;
INFLB;1082;Midtjylland;Alle;K;688619;59;0;0;0;0,00;0,00;8,57;0,00;
INFLB;1082;Midtjylland;Alle;M;684906;73;0;0;0;0,00;0,00;10,66;0,00;
INFLB;1081;Nordjylland;00-01;Alle;10490;6;0;0;0;0,00;0,00;57,20;0,00;
INFLB;1081;Nordjylland;00-01;K;5039;0;0;0;0;0,00;0,00;0,00;0,00;
INFLB;1081;Nordjylland;00-01;M;5451;6;0;0;0;0,00;0,00;110,07;0,00;
INFLB;1081;Nordjylland;02-06;Alle;29515;2;0;0;0;0,00;0,00;6,78;0,00;
INFLB;1081;Nordjylland;02-06;K;14264;0;0;0;0;0,00;0,00;0,00;0,00;
INFLB;1081;Nordjylland;02-06;M;15251;2;0;0;0;0,00;0,00;13,11;0,00;
INFLB;1081;Nordjylland;07-14;Alle;48166;1;0;0;0;0,00;0,00;2,08;0,00;
INFLB;1081;Nordjylland;07-14;K;23454;1;0;0;0;0,00;0,00;4,26;0,00;
INFLB;1081;Nordjylland;07-14;M;24712;0;0;0;0;0,00;0,00;0,00;0,00;
INFLB;1081;Nordjylland;15-44;Alle;211858;20;0;0;0;0,00;0,00;9,44;0,00;
INFLB;1081;Nordjylland;15-44;K;101368;9;0;0;0;0,00;0,00;8,88;0,00;
INFLB;1081;Nordjylland;15-44;M;110490;11;0;0;0;0,00;0,00;9,96;0,00;
INFLB;1081;Nordjylland;45-64;Alle;152616;28;0;0;0;0,00;0,00;18,35;0,00;
INFLB;1081;Nordjylland;45-64;K;75893;15;0;0;0;0,00;0,00;19,76;0,00;
INFLB;1081;Nordjylland;45-64;M;76723;13;0;0;0;0,00;0,00;16,94;0,00;
INFLB;1081;Nordjylland;65-74;Alle;69438;33;0;0;0;0,00;0,00;47,52;0,00;
INFLB;1081;Nordjylland;65-74;K;35426;15;0;0;0;0,00;0,00;42,34;0,00;
INFLB;1081;Nordjylland;65-74;M;34012;18;0;0;0;0,00;0,00;52,92;0,00;
