"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-07-08T11:25:03.061"
RSV;1083;Syddanmark;02. 6-11 måneder;M;2839;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;03. 1 år;Alle;11342;1;0;0;0;0,00;0,00;8,82;0,00;
RSV;1083;Syddanmark;03. 1 år;K;5456;1;0;0;0;0,00;0,00;18,33;0,00;
RSV;1083;Syddanmark;03. 1 år;M;5886;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;04. 2 år;Alle;11474;3;0;0;0;0,00;0,00;26,15;0,00;
RSV;1083;Syddanmark;04. 2 år;K;5532;1;0;0;0;0,00;0,00;18,08;0,00;
RSV;1083;Syddanmark;04. 2 år;M;5942;2;0;0;0;0,00;0,00;33,66;0,00;
RSV;1083;Syddanmark;05. 3-5 år;Alle;37995;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;05. 3-5 år;K;18605;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;05. 3-5 år;M;19390;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;06. 6-14 år;Alle;117536;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;06. 6-14 år;K;57071;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;06. 6-14 år;M;60465;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1083;Syddanmark;07. 15-44 år;Alle;432423;23;0;0;0;0,00;0,00;5,32;0,00;
RSV;1083;Syddanmark;07. 15-44 år;K;209496;13;0;0;0;0,00;0,00;6,21;0,00;
RSV;1083;Syddanmark;07. 15-44 år;M;222927;10;0;0;0;0,00;0,00;4,49;0,00;
RSV;1083;Syddanmark;08. 45-64 år;Alle;330212;28;0;0;0;0,00;0,00;8,48;0,00;
RSV;1083;Syddanmark;08. 45-64 år;K;165354;16;0;0;0;0,00;0,00;9,68;0,00;
RSV;1083;Syddanmark;08. 45-64 år;M;164858;12;0;0;0;0,00;0,00;7,28;0,00;
RSV;1083;Syddanmark;09. 65-74 år;Alle;142741;17;0;0;0;0,00;0,00;11,91;0,00;
RSV;1083;Syddanmark;09. 65-74 år;K;72963;4;0;0;0;0,00;0,00;5,48;0,00;
RSV;1083;Syddanmark;09. 65-74 år;M;69778;13;0;0;0;0,00;0,00;18,63;0,00;
RSV;1083;Syddanmark;10. 75-84 år;Alle;109486;18;0;0;0;0,00;0,00;16,44;0,00;
RSV;1083;Syddanmark;10. 75-84 år;K;58562;4;0;0;0;0,00;0,00;6,83;0,00;
RSV;1083;Syddanmark;10. 75-84 år;M;50924;14;0;0;0;0,00;0,00;27,49;0,00;
RSV;1083;Syddanmark;11. 85+ år;Alle;35283;11;0;0;0;0,00;0,00;31,18;0,00;
RSV;1083;Syddanmark;11. 85+ år;K;21719;6;0;0;0;0,00;0,00;27,63;0,00;
RSV;1083;Syddanmark;11. 85+ år;M;13564;5;0;0;0;0,00;0,00;36,86;0,00;
RSV;1083;Syddanmark;Alle;Alle;1239519;106;0;0;0;0,00;0,00;8,55;0,00;
RSV;1083;Syddanmark;Alle;K;620148;48;0;0;0;0,00;0,00;7,74;0,00;
RSV;1083;Syddanmark;Alle;M;619371;58;0;0;0;0,00;0,00;9,36;0,00;
